LS_MC,LS_MC_error,LLimit,ULimit,LS_NC,LS_NC_error
84.677139,6.4585513,64.088283,111.22946,87.945178,7.6899926
76.542537,5.8728661,57.903089,100.58650,79.077425,7.0968347
72.106573,5.3739748,54.677255,94.563604,75.497858,6.5315931
75.992309,5.8127805,57.501492,99.841628,75.921242,6.9981827
65.638744,4.7906134,49.855826,85.957754,66.735242,5.8795517
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
76.980570,5.3832366,58.663169,100.52353,77.288415,6.3936886
78.503708,6.5317367,58.970127,103.78422,76.614522,7.8842300
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
49.933273,4.6667317,37.089074,66.638316,38.170469,6.0307526
64.172466,4.4699977,48.917128,83.776882,68.143499,5.4778520
82.532733,5.7190076,62.937211,107.70965,86.654081,6.7021963
81.879462,5.7574346,62.370470,106.95924,86.142765,6.7713077
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
77.496927,5.5115249,58.981132,101.31031,76.942232,6.5579834
67.260652,4.6041015,51.337551,87.709629,68.285363,5.5379258
70.445099,5.2398733,53.425805,92.372137,70.602897,6.3697435
71.795065,5.2493709,54.524115,94.031337,76.393774,6.3754632
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
83.891862,5.9015910,63.901212,109.59128,84.578146,6.9033354
81.023231,5.3946689,61.966150,105.47148,85.732991,6.3045963
76.035925,5.2503103,57.998088,99.208377,76.865210,6.2082265
80.863650,0.67880960,65.699329,99.521093,79.648873,0.0000000
75.177142,5.4811036,57.105345,98.441926,76.234961,6.5825398
74.389798,5.2712399,56.632188,97.224852,78.566791,6.3163626
78.105261,5.8896284,59.169771,102.51424,77.665833,7.0215458
74.554869,5.3224490,56.725481,97.488819,74.203103,6.3222546
72.277521,5.6641084,54.579600,95.126345,61.852151,6.8146137
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
72.853783,5.9576230,54.811269,96.187892,75.347085,7.2626173
73.574183,5.2113507,56.012985,96.156315,76.059634,6.2340226
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
62.649733,4.7122718,47.470972,82.214105,57.986941,5.8043244
71.801936,5.2028870,54.567831,93.982990,74.941102,6.2908006
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
71.781226,4.9604441,54.749508,93.661816,76.966019,5.9600742
78.197187,5.8110273,59.309492,102.53050,76.831234,6.9415999
71.285228,5.2383265,54.115430,93.395611,71.920617,6.3478714
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
68.807844,5.1960347,52.120241,90.320392,63.172195,6.3039154
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
76.285191,5.4339380,58.051868,99.736715,80.932755,6.5053426
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
57.403356,4.5417004,43.312119,75.602818,57.721970,5.6578609
62.839260,4.8369872,47.524076,82.597632,63.674241,6.0063899
61.532372,4.2062995,46.970032,80.232856,68.462975,5.1479951
65.591833,5.2304034,49.457048,86.437256,92.058535,6.5195431
85.434952,6.2329577,64.894036,111.87902,91.109304,7.3403325
57.101050,4.4089524,43.173192,75.071843,55.320301,5.5394240
79.412614,5.8028450,60.312055,104.00392,78.543098,6.8583391
80.760977,5.9234684,61.318001,105.79679,81.733128,7.0045851
83.272962,6.1264308,63.209895,109.11034,86.144402,7.2158724
73.301113,5.0781108,55.898415,95.660422,76.942355,6.0855774